teamId,period,name,abbreviation,teamName,shortName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame
28,20232024,San Jose Sharks,,,,82,19,54,,47,0.28658,2.19512,3.9756,,0.201923,,,,0.753969,25.2317
16,20232024,Chicago Blackhawks,,,,82,23,53,,52,0.31707,2.17073,3.52439,,0.165957,,,,0.757576,26.25609
15,20232024,Washington Capitals,,,,82,40,31,,91,0.55487,2.63414,3.07317,,0.20614,,,,0.7897,26.4878
24,20232024,Anaheim Ducks,,,,82,27,50,,59,0.35975,2.4756,3.57317,,0.178723,,,,0.724243,26.75609
8,20232024,Montréal Canadiens,,,,82,30,36,,76,0.46341,2.82926,3.42682,,0.174603,,,,0.764493,27.67073
53,20232024,Arizona Coyotes,,,,82,36,41,,77,0.46951,3.09756,3.34146,,0.219917,,,,0.763158,27.71951
23,20232024,Vancouver Canucks,,,,82,50,23,,109,0.66463,3.40243,2.69512,,0.226562,,,,0.791339,28.39024
55,20232024,Seattle Kraken,,,,82,34,35,,81,0.4939,2.60975,2.82926,,0.206611,,,,0.788289,28.62195
19,20232024,St. Louis Blues,,,,82,43,33,,92,0.56097,2.85365,3.02439,,0.18,,,,0.790698,28.90243
17,20232024,Detroit Red Wings,,,,82,41,32,,91,0.55487,3.35365,3.32926,,0.230769,,,,0.795834,28.96341
6,20232024,Boston Bruins,,,,82,47,20,,109,0.66463,3.20731,2.69512,,0.222222,,,,0.824627,29.25609
14,20232024,Tampa Bay Lightning,,,,82,45,29,,98,0.59756,3.51219,3.25609,,0.28629,,,,0.833334,29.28048
29,20232024,Columbus Blue Jackets,,,,82,27,43,,66,0.40243,2.85365,3.63414,,0.150943,,,,0.762712,29.9756
2,20232024,New York Islanders,,,,82,39,27,,94,0.57317,2.9878,3.14634,,0.203463,,,,0.714933,30.12195
30,20232024,Minnesota Wild,,,,82,39,34,,87,0.53048,3.02439,3.17073,,0.227106,,,,0.745248,30.13414
52,20232024,Winnipeg Jets,,,,82,52,24,,110,0.67073,3.15853,2.41463,,0.1875,,,,0.771301,30.34146
1,20232024,New Jersey Devils,,,,82,38,39,,81,0.4939,3.21951,3.42682,,0.224489,,,,0.806585,30.68292
7,20232024,Buffalo Sabres,,,,82,39,37,,84,0.51219,2.9756,2.96341,,0.165919,,,,0.798354,30.90243
54,20232024,Vegas Golden Knights,,,,82,45,29,,98,0.59756,3.20731,2.96341,,0.20238,,,,0.793428,31.07317
20,20232024,Calgary Flames,,,,82,38,39,,81,0.4939,3.08536,3.25609,,0.178571,,,,0.808164,31.36585
3,20232024,New York Rangers,,,,82,55,23,,114,0.69512,3.39024,2.75609,,0.264227,,,,0.844828,31.4878
25,20232024,Dallas Stars,,,,82,52,21,,113,0.68902,3.58536,2.82926,,0.241666,,,,0.820084,31.56097
9,20232024,Ottawa Senators,,,,82,37,41,,78,0.4756,3.04878,3.42682,,0.180212,,,,0.751021,31.7317
26,20232024,Los Angeles Kings,,,,82,44,27,,99,0.60365,3.09756,2.56097,,0.225806,,,,0.84585,31.90243
18,20232024,Nashville Predators,,,,82,47,30,,99,0.60365,3.2439,3.02439,,0.215613,,,,0.769231,32.21951
10,20232024,Toronto Maple Leafs,,,,82,46,26,,102,0.62195,3.63414,3.18292,,0.239495,,,,0.768908,32.57317
5,20232024,Pittsburgh Penguins,,,,82,38,32,,88,0.53658,3.08536,3.02439,,0.152671,,,,0.806585,32.7439
21,20232024,Colorado Avalanche,,,,82,50,25,,107,0.65243,3.68292,3.07317,,0.244604,,,,0.799243,32.9878
4,20232024,Philadelphia Flyers,,,,82,38,33,,87,0.53048,2.81707,3.14634,,0.122047,,,,0.834025,33.02439
12,20232024,Carolina Hurricanes,,,,82,52,23,,111,0.67682,3.37804,2.57317,,0.269076,,,,0.864342,33.32926
13,20232024,Florida Panthers,,,,82,52,24,,110,0.67073,3.2317,2.41463,,0.235074,,,,0.824743,33.70731
22,20232024,Edmonton Oilers,,,,82,49,27,,104,0.63414,3.56097,2.87804,,0.263374,,,,0.794574,33.75609
